3ds,encmdl,sme1200
a10,fwme,0
a109,rotor,1
a306,fwme,0
a310,fwme,0
a318,fwme,0
a319,fwme,0
a320,fwme,0
a321,fwme,0
a332,fwme,0
a333,fwme,0
a342,fwme,0
a343,fwme,0
a345,fwme,0
a346,fwme,0
a6,fwme,0
aa5,fwse,1
aest,fwme,1
as32,rotor,1
as50,rotor,1
as55,rotor,1
as65,rotor,1
astr,fwme,1
at72,fwme,0
b06,rotor,1
b190,fwme,1
b2,fwme,0
b200,fwme,1
b206,rotor,1
b222,rotor,1
b350,fwme,1
b400,fwme,0
b412,rotor,1
b427,rotor,1
b461,fwme,0
b462,fwme,0
b52,fwme,0
b703,fwme,0
b712,fwme,0
b721,fwme,0
b722,fwme,0
b731,fwme,0
b732,fwme,0
b733,fwme,0
b734,fwme,0
b735,fwme,0
b737,fwme,0
b738,fwme,0
b743,fwme,0
b744,fwme,0
b752,fwme,0
b753,fwme,0
b762,fwme,0
b763,fwme,0
b772,fwme,0
b773,fwme,0
be18,fwme,1
be20,fwme,1
be35,fwse,1
be40,fwme,0
be50,fwme,1
be56,fwme,1
be58,fwme,1
be60,fwme,1
be70,fwme,1
be90,fwme,1
be99,fwme,1
bk17,rotor,1
c130,fwme,0
c141,fwme,0
c152,fwse,1
c17,fwme,0
c172,fwse,1
c177,fwse,1
c182,fwse,1
c185,fwse,1
c206,fwse,1
c208,fwse,1
c210,fwse,1
c212,fwme,0
c310,fwme,1
c402,fwme,1
c5,fwme,0
c500,fwme,0
c680,fwme,0
c750,fwme,0
cl60,fwme,0
col3,fwse,1
crj1,fwme,0
crj2,fwme,0
crj7,fwme,0
crj9,fwme,0
d328,fwme,0
dc10,fwme,1
dc3,fwme,1
dc91,fwme,0
dc93,fwme,0
dc95,fwme,0
dh8a,fwme,0
dh8b,fwme,0
dh8c,fwme,0
dh8d,fwme,0
e110,fwme,1
e121,fwme,0
e135,fwme,0
e145,fwme,0
e170,fwme,0
e190,fwme,0
e2,fwme,0
e45x,fwme,0
e767,fwme,0
ec20,rotor,1
ec35,rotor,1
ec45,rotor,1
f100,fwme,0
f14,fwme,0
f15,fwme,0
f16,fwse,1
f18,fwme,0
f22,fwme,0
f2th,fwme,0
f900,fwme,0
fa10,fwme,0
fa50,fwme,0
galx,fwme,0
glex,fwme,0
glf4,fwme,0
glf5,fwme,0
h25b,fwme,0
h47,rotor,1
h500,rotor,1
h53s,rotor,0
h60,rotor,1
h64,rotor,0
huco,rotor,0
js31,fwme,0
k35e,fwme,0
k35r,fwme,0
lj31,fwme,0
lj35,fwme,0
lj45,fwme,0
lj60,fwme,0
m20p,fwse,1
md11,fwme,0
md60,rotor,1
md81,fwme,0
md82,fwme,0
md83,fwme,0
md88,fwme,0
mi2,rotor,0
mi24,rotor,0
mi28,rotor,0
mu2,fwme,1
p28a,fwse,1
p3,fwme,0
pa11,fwse,1
pa22,fwse,1
pa23,fwme,1
pa31,fwme,1
pa32,fwse,1
pa44,fwme,1
pa46,fwme,1
pc12,fwse,1
r22,rotor,1
rq1,uas,0
rq4a,uas,0
s360,rotor,1
s65c,rotor,1
sf34,fwme,0
sh33,fwme,1
sr20,fwse,1
sr71,fwme,0
sw4,fwme,1
u2,fwme,0
uh1,rotor,1
v22,fwme,0
vc10,fwme,0
ww24,fwme,0